cz,cz_name,state,region,division,pop_2000,top_100,urban,abs_mobility,prob_q1q5,frac_black,frac_commute_under15,hhi_percap,top1inc_share,taxrate,inctax_progressive
100,Johnson City,TN,South,East South Central,"576,081",0,urban,38,0.06219881,0.0208408,0.325,31560,13.459,0.02,0
200,Morristown,TN,South,East South Central,"227,816",0,urban,38,0.05365194,0.0197791,0.276,29959,10.631,0.023,0
301,Middlesborough,TN,South,East South Central,"66,708",0,rural,39,0.072635137,0.0146459,0.359,22328,10.691,0.015,0
302,Knoxville,TN,South,East South Central,"727,600",1,urban,38,0.056281213,0.0563648,0.269,35884,15.08,0.019,0
401,Winston-Salem,NC,South,South Atlantic,"493,180",0,urban,37,0.044800792,0.173531,0.292,38892,11.917,0.018,1
402,Martinsville,VA,South,South Atlantic,"92,753",0,rural,37,0.051835854,0.2238095,0.313,31265,10.68,0.015,0
500,Greensboro,NC,South,South Atlantic,"1,055,133",1,urban,36,0.047396939,0.2175593,0.305,36582,18.228,0.017,1
601,North Wilkesboro,NC,South,South Atlantic,"90,016",0,rural,38,0.051663127,0.0319277,0.289,31544,12.645,0.014,1
602,Galax,VA,South,South Atlantic,"64,676",0,rural,41,0.079569891,0.0289597,0.325,30683,8.706,0.014,0
700,Spartanburg,SC,South,South Atlantic,"354,533",0,urban,36,0.04311119,0.2074983,0.299,33417,13.061,0.018,0
800,Gastonia,NC,South,South Atlantic,"413,331",0,urban,35,0.051527306,0.1377782,0.288,33582,10.08,0.015,1
900,Charlotte,NC,South,South Atlantic,"1,423,942",1,urban,36,0.043785237,0.2273302,0.241,41423,15.613,0.02,1
1001,Boone,NC,South,South Atlantic,"77,361",0,rural,40,0.056083649,0.0218586,0.375,25953,14.276,0.022,1
1002,Morganton,NC,South,South Atlantic,"164,760",0,urban,38,0.054446463,0.0473598,0.315,30726,7.776,0.014,1
1100,Hickory,NC,South,South Atlantic,"375,363",0,urban,36,0.04496967,0.0908667,0.322,36024,11.834,0.015,1
1201,Franklin,NC,South,South Atlantic,"44,861",0,rural,41,0.056661561,0.0104991,0.416,37261,20.552,0.024,1
1202,Sylva,NC,South,South Atlantic,"54,082",0,rural,41,0.060665362,0.0143486,0.412,28767,8.421,0.015,1
1203,Asheville,NC,South,South Atlantic,"398,505",0,urban,39,0.063380279,0.0503331,0.314,37445,13.046,0.018,1
1204,Andrews,NC,South,South Atlantic,"59,681",0,rural,41,0.080481037,0.0093497,0.361,33712,55.821,0.015,1
1301,Bennettsville,SC,South,South Atlantic,"71,586",0,rural,35,0.029796841,0.3995614,0.34,25531,12.783,0.02,0
1302,Florence,SC,South,South Atlantic,"548,986",0,urban,36,0.0356782,0.3407701,0.327,32610,13.675,0.021,0
1400,Fayetteville,NC,South,South Atlantic,"644,101",1,urban,35,0.038247012,0.2985355,0.322,29959,11.49,0.016,1
1500,Wilmington,NC,South,South Atlantic,"361,559",0,urban,36,0.041803397,0.2103861,0.317,35617,12.594,0.022,1
